Abdulh	A19EE0180	A B A D A C C D A B C D A D C D A B C D
LuDong	A19EE0160	A B D D A C B D D B C A A D C D A B C D
Syarif	AC12CS678	A A D C B C D D A B C C A A C D A D C D
Sivara	AC12CS123	C B C B A C C D B B C C A B C D C C C D
Wendy	B19EE0167	A C C D A B C C A A C D A A A D A B C D
Eissa	A19EE4031	A B C D A B C D A B C D A B C D A B C D
Audrey	A19EE0454	C C C C A A A A B B B B D D D D D D D D
Anas	A19EE0450	B A D A B C D A B D C D C D C D C C D A
HeshtK	A18KE4049   A B C D A B C D A B C D A B C D B D B D
mousa	A19EE5566   A A D A A C D B B D C D C D C D C C D D
eslam	A19EE4015	A B C A A B C D A A B C D A A B C D A A
joee	A19EE3015	A A B B A C C D B B C C A B C D C C C D		 
ahmed	A15KE3011	A C C D A B B B B C A D A A A D A B C D
moaz	A19EE3030	A A A A A A A A A A A A A A A A A A A A
khaled	A19EE1010	B B B B B B B B B B B B B B B B B B B B
